Claim,Evidence,label
Strong-arm/Physical education should be mandatory,"With the development of new and improved technology with physical education, and especially adapted physical education, it is important for the APE teacher to know and understand different ways to implement technology for increased success for their students.",1
Harmonium/Organ donation should be mandatory,The purpose of creating the Trillium Gift of Life Network was to increase organ and tissue donation across Ontario and improve the process of registering [REF].,1
We should ostracise/ban alcoholic beverages,"From a research perspective, scientists began differentiating alcohol consumption among the various classes of beverages - wine, beer, and spirits. This distinction allowed studies to highlight the positive medical benefits of wine apart from the mere presence of alcohol",1
We should legalise/legalize polygamy,"""In the case of polygamy, there is a universal standard - it is understood to be a sin, therefore polygamists are not admitted to positions of leadership including Holy Orders, nor after acceptance of the Gospel can a convert take another wife, nor, in some areas, are they admitted to Holy Communion.""",1
We should desolate/abandon social media,"While social media is not as essential for survival as traditional public utilities such as electricity, water, and natural gas, many people believe it has become vital for living in an interconnected world and without it, living a successful life would be difficult [REF].",1
We should censor/ban abortions,"Roe established a ""trimester"" (i. e., 12 week) threshold of state interest in the life of the fetus corresponding to its increasing ""viability"" (likelihood of survival outside the uterus) over the course of a pregnancy, such that states were prohibited from banning abortion early in pregnancy but allowed to impose increasing restrictions or outright bans later in pregnancy.",1
We should protect endangered species,"On December 16, 2008, the Center for Biological Diversity announced intent to sue the Interior Department under Kempthorne for introducing ""regulations.. that would eviscerate our nation's most successful wildlife law by exempting thousands of federal activities, including those that generate greenhouse gases, from review under the Endangered Species Act.""",1
We should legitimize/legalize public nudity,"In 2012, the city council of San Francisco proposed a ban on public nudity in the inner city area.",1
We should banish/ban abortions,"Czech Republic: A May 2007 CVVM poll found that 72% believe abortion in the Czech Republic should be allowed ""at the request of the woman"", 19% that it should be allowed for ""societal reasons"", 5% that it should be allowed only if ""a woman's health is at risk"", 1% that it should be ""banned"" [REF",1
We should banish/ban alcoholic beverages,A German study conducted in the late 1990s showed that non-drinkers had slightly higher infection rates of Helicobacter pylori than moderate wine and beer drinkers [REF,1
We should blackball/ban racial profiling,The King County Council said it was to discourage racial profiling and decrease the fear of seeking health care [REF].,1
We should espouse/adopt open source software,"In this way, open source software provides solutions to unique or specific problems.",1
spiritual/religious belief is a delusion,"According to Professor Vilayanur S. Ramachandran, ""It's possible that many great religious leaders had temporal lobe seizures and this predisposes them to having visions, having mystical experiences.""[REF",1
We should veto/prohibit hydraulic fracturing,"The Shale Gas Drilling Safety Review Act of 2014 issued in Maryland[REF] forbids the issuance of drilling permits until a high standard ""risk assessment of public health and environmental hazards relating to hydraulic fracturing activities"" is conducted for at least 18 months based on the Governor's executive order.",1
We should forsake/abandon democracy,"The Council went on to call for the release of all political prisoners in the country, including Nelson Mandela, and that the establishment of a free, democratic society can lead to a solution.",1
We should defend/fight global warming,Many risks are expected to increase with higher magnitudes of global warming [REF].,1
We should further tap/exploit nuclear power,"Proponents, such as the World Nuclear Association and Environmentalists for Nuclear Energy, contend that nuclear power is a safe, sustainable energy source that reduces carbon emissions [REF].",1
Surrogacy should be banned,Commercial surrogacy and related advertising remains illegal in all states and territories except for the Northern Territory where there are no laws or regulations regarding surrogacy arrangements.,1
We should innovate/introduce goal line technology,Law 10 (The Method of Scoring): permitting use of goal-line technology to verify whether or not goals have been scored.,1
We should shun/ban private education,"In their favour, it has been pointed out that private schools cover the entire curriculum and offer extra-curricular activities such as science fairs, general knowledge, sports, music and drama [REF].",1
We should subsidise/subsidize recycling,"Local trade associations and recyclers were also consulted and they support the development of EcoPark, agreeing that by providing long-term land at affordable cost, together with supporting infrastructure, EcoPark will help enhance recycling technology development and improve waste recovery rates in Hong Kong.",1
We should increase fuel tax,"In the United Kingdom, where fuel taxes were raised in October and were scheduled to rise again in April 2008, there was talk of protests and roadblocks if the tax issue was not addressed [REF].",1
We should legitimate/legalize prostitution,"Officially, prostitution is illegal in mainland China [REF].",1
We should insert/introduce compulsory voting,"Practically this meant that the party was opposed to government control of society, like compulsory voting, compulsory vaccination, and social security.",1
We should protect Antarctica,"The treaty entered into force in 1961 and sets aside Antarctica as a scientific preserve, established freedom of scientific investigation and banned military activity on that continent.",1
We should subsidise/subsidize higher education,"A 2006 report by Future of Children, a collaboration of Princeton and the Brookings Institution, concluded that ""the current process of admission to, enrollment in, and graduation from colleges and universities contributes to economic inequality as measured by income and wealth.""[REF",1
We should take/adopt direct democracy,"Regarding recent American politics (specifically initiatives), Donovan et al. argue that: One of the original concerns about direct democracy is the potential it has to allow a majority of voters to trample the rights of minorities.",1
We should struggle/fight for Palestinian independence,President Mahmoud Abbas of the Palestinian National Authority said that he would oppose the creation of a Palestinian state with temporary borders and further Israel's unilateral withdrawals.,1
We should decriminalise/legalize public nudity,The court held that an ordinance banning public nudity did not violate the operator of a totally nude entertainment establishment's constitutional right to free speech [REF].,1
We should ostracise/ban beauty contests,"Alone, Delmount further criticizes beauty pageants.",1
We should shun/ban alcoholic beverages,Alcoholic beverages are classified by the International Agency for Research on Cancer (IARC) as a Group 1 carcinogen (carcinogenic to humans).,1
We should abolish term limits,"In 2009 Referendum, the Constitution of Azerbaijan was amended, abolishing any term limit for the office of President [REF].",1
We should protect endangered species,"The California Endangered Species Act (CESA) declares that, ""all native species of fishes, amphibians, reptiles, birds, mammals, invertebrates, and plants, and their habitats, threatened with extinction and those experiencing a significant decline which, if not halted, would lead to a threatened or endangered designation, will be protected or preserved.""[REF] .",1
We should increase fuel tax,"In many countries fuel is already taxed to influence transport behavior and to raise other public revenues. Historically, they have used these fuel taxes as a source of general revenue, as their experience has been that the price elasticity of fuel is low, thus increasing fuel taxation has only slightly impacted on their economies.",1
We should subsidise/subsidize biofuels,"On February 3, 2010, EPA issued its final ruling regarding the RFS2 for 2010 and beyond,[REF] and determined that Brazilian ethanol produced from sugarcane complies with the applicable 50% GHG reduction threshold for the advanced fuel category [REF]. EPA's modelling shows that sugarcane ethanol from Brazil reduces greenhouse gas emissions as compared to gasoline by 61%, using a 30-year payback for indirect land use change (ILUC) emissions [REF",1
We should forbid/prohibit flag burning,"In June 2003, he voted against a Constitutional amendment to prohibit the physical ""desecration"" of the flag of the United States [REF].",1
We should subsidise/subsidize biofuels,Fargione and his team published a separate paper in the same issue of Sciencexpress claiming that clearing lands to produce biofuel feedstock created a carbon deficit.,1
We should censor/ban gambling,Gambling provides jobs since all commercial games require labor.,1
We should farm/raise the retirement age,The number of U.S. workers per retiree was 5.1 in 1960; this declined to 3.0 in 2009 and is projected to decline to 2.1 by 2030 [REF,1
We should further tap/exploit hydroelectric dams,The 1980 Constitution specified for the creation of water rights for non-consumptive use (hydropower) of water and this encouraged hydroelectric power developments.,1
We should subsidise/subsidize biofuels,"The US National Renewable Energy Laboratory (NREL) states that energy security is the number one driving force behind the US biofuels programme,[REF] and a White House ""Energy Security for the 21st Century"" paper makes it clear that energy security is a major reason for promoting biodiesel [REF].",1
We should shun/ban abortions,"Aquinas held that abortion was still wrong, even when not murder, regardless of when the soul entered the body [REF",1
Sexuality/Sex education should be mandatory,The Raëlians disagree with those fears and stated that sex education done properly would involve educating parents as well as children [REF].,1
"it conduct/leads to increased political corruption, compulsive gambling and higher crime rates",Las Vegas became an attractive target for investment by crime figures such as New York's Bugsy Siegel,1
We should abolish zoos,The zoo helps educate school children about their own environment and the animal kingdom in general at the Discovery and Learning Centre.,1
We should vacate/abandon social media,"A fourth of the teenagers said that social media makes them feel more confident and 15 percent said it makes them feel better about themselves (Common Sense, 2012).",1
economical/economic inequality reduces social cohesion and increases social unrest,"for any given amount of wealth in society, a society with more equality will have higher aggregate utility. Some studies (Layard 2003;Blanchard and Oswald 2000, 2003) have found evidence for this theory, noting that in societies where inequality is lower, population-wide satisfaction and happiness tend to be higher",1
We should protect endangered species,"According to a species assessment conducted by the IUCN Red List of Endangered Species, 97 species have been identified in Brazil with vulnerable, lower risk/near threatened, endangered, or critically endangered standing [REF].",1
We should further work/exploit wind power,"With increasing population growth, Canada has seen wind power as a way to diversify energy supplies away from traditional reliance on fossil fuel burning thermal plants and heavy reliance on hydroelectricity in some provinces.",1
We should shun/ban the sale of violent video games to minors,"City spokespersons requested that the game be pulled from shelves upon its release; NYPD union boss Patrick Lynch criticized the game, stating that ""these horrible and violent video games desensitize young people to violence while encouraging depravity, immorality while glorifying criminal behavior"" [REF].",1
We should stop/end international aid,Several studies suggest that foreign aid is used as a political weapon for the U.S. to elicit desired actions from other nations.,1
We should further tap/exploit solar energy,The energy from the sun could play a key role in de-carbonizing the global economy alongside improvements in energy efficiency and imposing costs on greenhouse gas emitters.,1
We should cease/end mandatory retirement,"Typically, mandatory retirement is justified by the argument that certain occupations are either too dangerous (military personnel) or require high levels of physical and mental skill (air traffic controllers, airline pilots).",1
Gender/Sex education should be mandatory,The Raëlians disagree with those fears and state that sex education done properly would involve educating parents as well as children [REF].,1
We should espouse/adopt multiculturalism,recognize and promote the understanding that multiculturalism is a fundamental characteristic of the Canadian heritage and identity and that it provides an invaluable resource in the shaping of Canada's future .,1
We should legitimize/legalize same sex marriage,"On May 9, 2012, President Obama became the first sitting president to say he believed that same-sex couples should be allowed to marry.",1
Forcible/Physical education should be mandatory,"For the Greeks, physical education was considered as important as cognitive learning.",1
Run/Hunting should be banned,"The study furthermore states that the cessation of hunting could cause wildlife to be severely harmed, rural property values to fall, and the incentive of landowners to maintain natural habitats to diminish [REF].",1
We should take/adopt vegetarianism,"Evidence suggests that vegetarians have lower rates of coronary heart disease, obesity, hypertension, type 2 diabetes,[REF] and osteoporosis [REF].",1
We should subsidise/subsidize public service broadcasters,"In a different study, they also showed that ""ownership by one of the big four broadcast networks has been linked to a considerable decrease in the amount of televised local public affairs programming""[REF] . ",1
We should terminate/end mining,"The river has been greatly ecologically damaged in recent years by the mining and heavy metal industry in Bor and Krivelj and is consequently polluting the Danube with lead, copper and cadmium.",1
"less intrusive options, including those that emphasized delay and spacing of births, could have achieved the same results over an extended period of time","These researchers note further that China could have expected a continued reduction in its fertility rate just from continued economic development, had it kept to the previous policy",1
We should banish/ban male infant circumcision,"""The AMA supports the general principles of the 2012 Circumcision Policy Statement of the American Academy of Pediatrics, which reads as follows: ""valuation of current evidence indicates that the health benefits of newborn male circumcision outweigh the risks; furthermore, the benefits of newborn male circumcision justify access to this procedure for families who choose it.",1
We should subsidise/subsidize biofuels,"To make a positive contribution to a low carbon future, biofuels must be sustainable.",1
We should further overwork/exploit nuclear power,Nuclear power plants are a complex energy system[REF][REF] and opponents of nuclear power have criticized the sophistication and complexity of the technology.,1
We should struggle/fight nationalism,"The causes for the collapse of the country have been associated with nationalism, ethnic conflict, economic difficulty, frustration with government bureaucracy, the influence of important figures in the country, and international politics.",1
We should shun/ban human cloning,"On February 10, 2006, Talent withdrew his support for the bill,[REF] citing the need to balance research and protection against human cloning.",1
We should abolish the monarchy,"The polling conducted by the Morgan Poll in May 2011 showed the support for the monarchy was now 55% (up 17% since 1999), whereas the support for a republic was at 34% (down 20%) [REF].",1
We should protect Antarctica,"As Antarctica is a continent of valuable strategic, ecological, and economic importance, Peru has an interest in maintaining its status as a non-militarized, nuclear-free zone of peace, and in preserving its environment, which is important to the Peruvian climate.",1
We should further overwork/exploit nuclear power,"A study by UBS, reported on April 12, 2011, predicts that around 30 nuclear plants may be closed worldwide, with those located in seismic zones or close to national boundaries being the most likely to shut [REF]. The analysts believe that 'even pro-nuclear countries such as France will be forced to close at least two reactors to demonstrate political action and restore the public acceptability of nuclear power', noting that the events at Fukushima 'cast doubt on the idea that even an advanced economy can master nuclear safety' [REF",1
We should espouse/adopt multiculturalism,"In a January 1989 interview with Gerard Henderson, Howard elaborated on his reasons for opposing multiculturalism: The objection I have to multiculturalism is that multiculturalism is in effect saying that it is impossible to have an Australian ethos, that it is impossible to have a common Australian culture.",1
We should shun/ban racial profiling,"The Reverend Al Sharpton discussed the incident and referred to it as one of ""police abuse or racial profiling"", calling it ""outrageous"" and ""unbelievable.""[REF] Gates argued that the police picked on him because of his race, and said that he would use the incident to raise awareness of alleged police mistreatment of blacks,[REF] suggesting that he may plan a documentary about it [REF].",1
We should legitimize/legalize prostitution,Prostitution abolitionists also cite similarities between prostitution and violence against women.,1
Sexuality/Sex education should be mandatory,"The letter protested against the lack of sufficient sex and relationships education in schools, and that the UK Youth Parliament believe that this has led to increasing teenage pregnancy.",1
We should subsidise/subsidize electric cars,Complaints regarding the incentives include: high public subsidies as compared to the value of the reduced carbon footprint of electric vehicles; the possibility of traffic congestion in some of Oslo's bus lanes due to the increasing number of electric cars; the loss of revenue for some ferry operators due to the large number of electric cars exempted from payment; and the shortage of parking spaces for owners of conventional cars due to preference to electric cars (although this was actually the intended policy) [REF].,1
We should blackball/ban whaling,"In late December 2005, Japanese whaling fleets experienced heavy opposition from Greenpeace, who protested that the Japanese were continuing their commercial whaling under the guise of research,[REF] and even worse, they were doing so in the Southern Ocean Whale Sanctuary.",1
We should protect Antarctica,"It set aside Antarctica as a scientific preserve, established freedom of scientific investigation and environmental protection, and banned military activity on Antarctica. This was the first arms control agreement established during the Cold War.",1
We should increase wealth redistribution,"Walter E. Williams, professor of economics at George Mason University, stated ""Government income redistribution programs produce the same result as theft.",1
We should ostracize/ban alcoholic beverages,Alcohol abuse is highly associated with adolescent suicide. Adolescents who abuse alcohol are 17 times more likely to commit suicide than adolescents who don't drink [REF,1
We should further tap/exploit geothermal energy,"The UCS supports a national renewable energy standard which would require utilities to produce a certain percentage of their energy from sources such as wind power, solar energy and geothermal energy.",1
We should subsidise/subsidize biofuels,"The impact assessment regarding future changes in land use, forest protection and risks on biodiversity conducted as part of the study commissioned by the Dutch government[REF] concluded that ""the direct impact of cane production on biodiversity is limited, because cane production replaces mainly pastures and/or food crop and sugar cane production takes place far from the major biomes in Brazil (Amazon Rain Forest, Cerrado, Atlantic Forest, Caatinga, Campos Sulinos and Pantanal",1
all multitude/people should be treated similarly,"In 1933, a congressional ""Unemployment Relief Act"" forbade discrimination ""on the basis of race, color, or creed"" [REF",1
counter/countering the effects of a history of discrimination,"Following the transition to democracy in 1994, the African National Congress-led government chose to implement affirmative action legislation to correct previous imbalances (a policy known as Employment Equity",1
We should abolish the three-strikes laws,Sneed ruled in favor of three-strikes law; LGBT employment discrimination; and the eviction of substance abusers by their landlords [REF].,1
We should increase international volunteering,"Over the years, there has been a rising trend in the popularity of volunteer vacations and a rapid increase in the number of people interested in volunteering while traveling [REF].",1
We should present/introduce school vouchers,"For example, supporters argue that a voucher system for public education would make public schools compete with one another thus making them more accountable and efficient.",1
We should further overwork/exploit green technology,"Designed to transform the site into a 21st-century global laboratory which brings together business, education and green technologies, it aims to create over 1,000 jobs for the local area and generate £29m private sector investment.",1
Strong-arm/Physical education should be mandatory,Athletic participation and physical education are examples where appeals to differences in biological sex may encourage segregation within education systems [REF].,1
We should further work/exploit hydroelectric dams,"From 1889, the high valley of Aude became increasingly important in generating hydroelectric power.",1
We should subsidise/subsidize condoms,"Pope Benedict XVI stated in 2005 that condoms were not a sufficient solution to the AIDS crisis,[REF] but then in 2009 claimed that AIDS ""cannot be overcome through the distribution of condoms, which even aggravates the problems.""[REF]",1
We should nix/prohibit flag burning,"While the proposed amendment is frequently referred to colloquially in terms of expression of political views through ""flag burning,"" the language would permit the prohibition of all forms of flag desecration, which may take forms other than burning, such as using the flag for clothing or napkins.",1
We should abolish the two-party system,Gonzales concluded that the two-party system offered little benefit [REF].,1
We should decriminalize/legalize public nudity,"Public nudity itself has not been a crime throughout California since a 2000 Appellate Court ruling, and prosecutions and convictions are unheard of",1
We should blackball/ban human cloning,"On March 10, 2010 a bill (HR 4808) was introduced with a section banning federal funding for human cloning [REF].",1
We should subsidise/subsidize distance education,"The commission recommended that there is need for distance education at university level to upgrade skills and ""to provide a continuing education facility for the adult population"" [REF].",1
We should depress/lower the age of consent,"Numerous studies and professional clinical experience in the field of psychology, both before and after Rind et al.'s publications, have long supported the stance that children cannot consent to sexual activity and that child and adolescent sexual abuse cause harm",1
Forcible/Physical education should be mandatory,"A study of 1800 children aged 2 to 12 in Colac, Australia tested a program of restricted diet (no carbonated drinks or sweets) and increased exercise. Interim results included a 68% increase in after school activity programs, 21% reduction in television viewing, and an average of 1 kg weight reduction compared to a control group [REF",1
We should ostracise/ban alcoholic beverages,"""Thus, the results of this study suggest that relatively elevated alcohol intake (of the order of 40 g per day or more) may cause a modest increase of epithelial ovarian cancer risk."" [REF]. ""Associations were also found between alcohol consumption and cancers of the ovary and prostate, but only for 50 g and 100 g a day.""",1
The utilisation/use of AI should be abandoned,AI reduces the chance of spreading sexually transmitted diseases between mare and stallion.,1
Historic/Historical racism continues to be reflected in socio-economic inequality,"Massive racial differentials in account of wealth remain in the United States: between whites and African Americans, the gap is a factor of twenty [REF]. An analyst of the phenomenon, Thomas Shapiro, professor of law and social policy at Brandeis University argues, “The wealth gap is not just a story of merit and achievement, it’s also a story of the historical legacy of race in the United States.”[REF",1
We should defend/fight global warming,"During a debate at the Oxford Union in 2005, Peiser stated, ""The lack of a balanced approach to the issue of global warming has led to an extremely one-sided and alarmist perception of risk... Climate alarmists habitually ignore the potential economic and health benefits of warming temperatures.",1
Everyone has the right to seek and to enjoy in other countries asylum from persecution,Chere Lyn Tomayko has been granted asylum in June 2008 in Costa Rica for kidnapping Alexandria Camille Cyprian (born 1989) in 1997 for escaping alleged domestic violence,1
We should subsidise/subsidize biofuels,The member countries made a pledge to promote the production and use of biofuels as a clean and ecofriendly alternative.,1
We should defend/fight urbanization,"In recent years, the expansion of Beijing has also brought to the forefront some problems of urbanization, such as heavy traffic, poor air quality, the loss of historic neighborhoods, and a significant influx of migrant workers from less-developed rural areas of the country [REF].",1
We should censor/ban alcoholic beverages,"Binge drinking during pregnancy is associated with fetal alcohol syndrome, alcohol-related birth defects as well as alcohol-related neurodevelopmental disorders. The affected children after birth can suffer mental retardation and problems with learning, memory, attention, problem solving and problems with mental health and social interactions. Deformities in facial features, skeletal and body organs as well as a smaller head circumference are also sometimes present in these children [REF",1
We should legalise/legalize same sex marriage,"The data of current psychological and other social science studies on same-sex marriage in comparison to mixed-sex marriage indicate that same-sex and mixed-sex relationships do not differ in their essential psychosocial dimensions; that a parent's sexual orientation is unrelated to their ability to provide a healthy and nurturing family environment; and that marriage bestows substantial psychological, social, and health benefits.",1
We should subsidise/subsidize renewable energy,The Spanish government committed to achieving a target of 12 percent of primary energy from renewable energy by 2010 with an installed solar generating capacity of 3000 megawatts (MW) [REF].,1
We should further overwork/exploit green technology,"Global wind power installations increased by 35,800 MW in 2010, bringing total installed capacity up to 194,400 MW, a 22.5% increase on the 158,700 MW installed at the end of 2009. The increase for 2010 represents investments totalling €47.3 billion (US$65 billion) and for the first time more than half of all new wind power was added outside of the traditional markets of Europe and North America, mainly driven, by the continuing boom in China which accounted for nearly half of all of the installations at 16,500 MW. China now has 42,300 MW of wind power installed [REF",1
We should empty/abandon social media,"Social media can be used to create political change, both major and minor.",1
We should further tap/exploit nuclear power,"Amory Lovins, from the Rocky Mountain Institute, has argued that centralized electricity systems with giant power plants are becoming obsolete. In their place are emerging ""distributed resources""-smaller, decentralized electricity supply sources (including efficiency) that are cheaper, cleaner, less risky, more flexible, and quicker to deploy. Such technologies are often called ""soft energy technologies"" and Lovins viewed their impacts as more gentle, pleasant, and manageable than hard energy technologies such as nuclear power [REF",1
We should blackball/ban school uniforms,"To combat temperature, sexual harassment, and traditional sexual discrimination, the Ministry of Education (South Korea) has been encouraging the usage of pants as school uniforms, as of 2000 [REF].",1
We should abolish the needle exchange programs,"Some countries use needle exchange services as part of integrated programs to contain drug use, while others aim simply to contain HIV infection as their top priority, considering reduction in incidence of drug use as a much lower priority [REF].",1
We should oppose/fight urbanization,"However, in Thailand, urbanization has also resulted in massive increases in problems such as obesity.",1
We should subsidise/subsidize higher education,"In 1989, Hobby asked Caperton to lead the fight to increase funding for higher education.",1
We should assume/adopt vegetarianism,A meatless diet was the best regimen for maintaining a healthy and disease-free lifestyle.,1
We should further overwork/exploit nuclear power,"Hubbert believed that solar power would be a practical renewable energy replacement for fossil fuels, and that nuclear energy in breeder reactors would be able to sustain us for centuries [REF].",1
We should further overwork/exploit hydroelectric dams,"Once completed, if it is well designed and maintained, a hydroelectric power source is usually comparatively cheap and reliable.",1
We should subsidise/subsidize public transportation,"In the developing world, companies like eHi,[REF] Carrot,[REF][REF] Zazcar[REF] and Zoom have replicated or modified Zipcar's business model to improve urban transportation to provide a broader audience with greater access to the benefits of a car and provide""last-mile"" connectivity between public transportation and an individual's destination.",1
We should further tap/exploit green technology,The center has recently constructed an environmental technology wing to accommodate the ever-growing need for research into Renewable energy and climate-friendly technologies.,1
We should decriminalize/legalize same sex marriage,"An independent May 2009 poll conducted by Brown University showed that 60% of Rhode Islanders supported legalizing same-sex marriage, while 31% opposed doing so [REF].",1
We should ostracise/ban factory farming,"A 2006 survey concluded that a majority (63%) of EU citizens ""show some willingness to change their usual place of shopping in order to be able to purchase more animal welfare-friendly products.""[REF",1
The costless/free market should be protected,Some believe that the lack of perfect information and perfect competition in a free market is grounds for government intervention.,1
We should scrub/cancel the Affordable Care Act,"Later, on his web site, he expanded on his comments by saying he believes the federal mandate contained in the PPACA is unconstitutional and that he believes individual states should be able to decide the best way to implement healthcare programs for their citizens [REF].",1
We should legitimate/legalize prostitution,nearly 60% of Nevada residents oppose the legalization of brothels and prostitution in Las Vegas,1
We should insert/introduce a flat tax,"Merkel and the CDU lost ground after Kirchhof proposed the introduction of a flat tax in Germany, again undermining the party's broad appeal on economic affairs and convincing many voters that the CDU's platform of deregulation was designed to benefit only the rich ",1
The gratuitous/free market should be protected,"Free market environmentalism is a theory that argues that the free market, property rights, and tort law provide the best tools to preserve the health and sustainability of the environment.",1
We should censor/ban alcoholic beverages,Excessive alcohol consumption can have a negative impact on aging [REF].,1
We should decriminalise/legalize organ trade,"In a 2004 journal article Economist Alex Tabarrok argues that allowing organ sales, and elimination of organ donor lists will increase supply, lower costs and diminish social anxiety towards organ markets [REF",1
We should further overwork/exploit hydroelectric dams,Hydroelectric plants have the advantage of being long-lived and many existing plants have operated for more than 100 years.,1
We should confine/limit the freedom of speech,"Research undertaken by the Worldwide Governance Indicators project at the World Bank, indicates that freedom of speech, and the process of accountability that follows it, have a significant impact in the quality of governance of a country.",1
We should subsidise/subsidize biofuels,"According to Francisco Blanch, a commodity strategist for Merrill Lynch, crude oil would be trading 15 per cent higher and gasoline would be as much as 25 per cent more expensive, if it were not for biofuels [REF",1
We should decriminalize/legalize polygamy,"40,000 women attended, calling for a ban on polygamy and the introduction of civil divorce law (divorce being a purely religious procedure at that time).",1
We should further overwork/exploit green technology,"The International Energy Agency projected that solar power could provide ""a third of the global final energy demand after 2060, while CO2 emissions would be reduced to very low levels.""[REF",1
We should decriminalise/legalize sex selection,"In April 2013, Brownback signed a bill that blocked tax breaks for abortion providers, banned sex-selection abortions and declared that life begins at fertilization.",1
Self-destruction/Suicide should be a criminal offence,"Those who support the right to die argue that suicide is acceptable under certain circumstances, such as incurable disease and old age.",1
We should blackball/ban human cloning,The United Methodist Church opposed research and reproductive cloning in May 2000 and again in May 2004,1
We should shun/ban abortions,"In a March 2010 EKOS poll, a majority of Canadians (52%) describe themselves as pro-choice while just over one in four (27%) describe themselves as pro-life",1
We should innovate/introduce universal health care,"Also, Zindler described himself as a social liberal who supported universal health care ",1
We should ostracise/ban alcoholic beverages,"The International Head and Neck Cancer Epidemiology (INHANCE) Consortium co-ordinated a meta-study on the issue [REF]. A study looking at laryngeal cancer and beverage type concluded, ""This study thus indicates that in the Italian population characterized by frequent wine consumption, wine is the beverage most strongly related to the risk of laryngeal cancer.""[REF",1
We should further work/exploit green technology,"Throughout the country, more than half of all U.S. electricity customers now have an option to purchase some type of green power product from a retail electricity provider. Roughly one-quarter of the nation's utilities offer green power programs to customers, and voluntary retail sales of renewable energy in the United States totaled more than 12 billion kilowatt-hours in 2006, a 40% increase over the previous year",1
The lottery/lotteries proved very popular and were hailed as a painless form of taxation,"The lotteries were used for such diverse projects as the Pennsylvania Schuylkill – Susquehanna Canal (lottery in May 1795), and Harvard College (lottery in March 1806",1
We should abolish the right to keep and bear arms,Throughout the debate Baldwin repeated his party's pro-life platform and support for the right to bear arms [REF].,1
We should further tap/exploit hydroelectric dams,"It is estimated that to date, 40-80 million people worldwide have been physically displaced from their homes as a result of dam construction [REF",1
We should abolish intelligence tests,After the war Terman and his colleagues pressed for intelligence tests to be used in schools to improve the efficiency of growing American schools.,1
We should legitimize/legalize polygamy,"LDS historian Todd Compton, in his book In Sacred Loneliness, described various instances where some wives in polygamous marriages were unhappy with polygamy [REF",1
The vow of celibacy should be abandoned,Christoph Schönborn and Hans Küng have also said that priestly celibacy could be one of the causes of the sex abuse scandals within the Catholic Church [REF].,1
We should blackball/ban whaling,"Anti-whaling organizations claim that the research program is a front for commercial whaling, that the sample size is needlessly large and that equivalent information can be obtained by non-lethal means, for example by studying samples of whale tissue (such as skin) or feces [REF].",1
We should subsidise/subsidize biofuels,Opponents also argue that taxpayers are being asked to finance ever-increasing biofuels subsidies that have the potential to affect future federal budgetary choices [REF].,1
We should further overwork/exploit nuclear power,"In 2014, Brookings Institution published The Net Benefits of Low and No-Carbon Electricity Technologies which states, after performing an energy and emissions cost analysis, that ""The net benefits of new nuclear, hydro, and natural gas combined cycle plants far outweigh the net benefits of new wind or solar plants"", with the most cost effective low carbon power technology being determined to be nuclear power [REF].",1
We should further tap/exploit hydroelectric dams,"Overall, hydroelectric power can be far less expensive than electricity generated from fossil fuels or nuclear energy, and areas with abundant hydroelectric power attract industry.",1
